degradation,severity,miou,pixel_acc,loss
gaussian_noise,1,0.6636066476321085,0.9022794045537735,0.5628792092142519
gaussian_noise,2,0.6550646573648884,0.8985814924953484,0.5794620846216015
gaussian_noise,3,0.6302979402084582,0.8893162223662913,0.6282745915831942
gaussian_noise,4,0.5992470083273493,0.8776867863828756,0.6843315647817512
gaussian_noise,5,0.5618537239936323,0.8615150701019717,0.7753287809528924
motion_blur,1,0.6403775636791298,0.8945631988774118,0.6005311647927793
motion_blur,2,0.618239929852137,0.8862745076476388,0.6461455070980653
motion_blur,3,0.5859289518837194,0.8729895756640087,0.728420227889187
motion_blur,4,0.548600196632237,0.8590722338378302,0.8214224016206652
motion_blur,5,0.5104452805817361,0.8421706464285458,0.9271779332935974
jpeg,1,0.6612323523621204,0.9015496932661214,0.5598811815716018
jpeg,2,0.6562100123767367,0.8989597907444463,0.5742298489841876
jpeg,3,0.64951265127398,0.8965664891220856,0.5890072472906638
jpeg,4,0.6311854893044306,0.8897987239831522,0.6207960081022469
jpeg,5,0.5991837472537185,0.8772984149710636,0.6816744580659656
